1	28255
6	26429
11	25743
16	25278
21	24895
26	24499
31	24101
36	23709
41	23244
46	22782
51	22316
56	21916
61	21500
66	21126
71	20837
76	20538
81	20281
86	20043
91	19832
96	19640
101	19465
106	19293
111	19124
116	18981
121	18841
126	18689
131	18571
136	18450
141	18317
146	18207
151	18091
156	17948
161	17825
166	17695
171	17597
176	17466
181	17359
186	17267
191	17167
196	17062
201	16940
206	16858
211	16755
216	16658
221	16555
226	16454
231	16344
236	16237
241	16121
246	16023
251	15922
256	15832
261	15745
266	15657
271	15564
276	15472
281	15396
286	15320
291	15246
296	15153
301	15082
306	15003
311	14910
316	14833
321	14761
326	14671
331	14588
336	14519
341	14448
346	14354
351	14272
356	14170
361	14085
366	14012
371	13933
376	13846
381	13771
386	13688
391	13622
396	13550
401	13480
406	13407
411	13335
416	13272
421	13214
426	13158
431	13112
436	13055
441	12983
446	12909
451	12870
456	12815
461	12760
466	12719
471	12657
476	12609
481	12565
486	12517
491	12470
496	12407
501	12375
506	12329
511	12290
516	12236
521	12192
526	12149
531	12103
536	12055
541	12014
546	11970
551	11941
556	11901
561	11869
