species1	species2	replicate
472	Sebastes_goodei	Sebastes_levis	85
473	Sebastes_caurinus	Sebastes_elongatus	85
474	Sebastes_flavidus	Sebastes_melanops	85
475	Sebastes_levis	Sebastes_proriger	86
476	Sebastes_entomelas	Sebastes_mystinus	86
477	Sebastes_elongatus	Sebastes_ensifer	86
478	Sebastes_flavidus	Sebastes_melanops	86
479	Sebastes_chlorostictus	Sebastes_rosenblatti	86
480	Sebastes_caurinus	Sebastes_saxicola	86
481	Sebastes_variegatus	Sebastes_zacentrus	86
482	Sebastes_goodei	Sebastes_paucispinis	86
483	Sebastes_caurinus	Sebastes_chlorostictus	87
484	Sebastes_melanops	Sebastes_paucispinis	87
485	Sebastes_entomelas	Sebastes_mystinus	87
486	Sebastes_variegatus	Sebastes_zacentrus	87
487	Sebastes_caurinus	Sebastes_saxicola	88
488	Sebastes_entomelas	Sebastes_mystinus	88
489	Sebastes_proriger	Sebastes_rosenblatti	88
490	Sebastes_levis	Sebastes_paucispinis	88
491	Sebastes_variegatus	Sebastes_zacentrus	88
492	Sebastes_ciliatus	Sebastes_flavidus	88
493	Sebastes_chlorostictus	Sebastes_levis	89
494	Sebastes_goodei	Sebastes_paucispinis	89
495	Sebastes_ciliatus	Sebastes_proriger	89
496	Sebastes_entomelas	Sebastes_mystinus	89
497	Sebastes_caurinus	Sebastes_elongatus	89
498	Sebastes_variegatus	Sebastes_zacentrus	89
499	Sebastes_flavidus	Sebastes_melanops	89
500	Sebastes_melanops	Sebastes_rosenblatti	90
501	Sebastes_entomelas	Sebastes_mystinus	90
502	Sebastes_proriger	Sebastes_variegatus	90
503	Sebastes_goodei	Sebastes_paucispinis	90
504	Sebastes_caurinus	Sebastes_saxicola	90
505	Sebastes_paucispinis	Sebastes_variegatus	91
506	Sebastes_chlorostictus	Sebastes_saxicola	91
507	Sebastes_entomelas	Sebastes_mystinus	91
508	Sebastes_ciliatus	Sebastes_flavidus	91
509	Sebastes_chlorostictus	Sebastes_zacentrus	92
510	Sebastes_caurinus	Sebastes_elongatus	92
511	Sebastes_goodei	Sebastes_levis	92
512	Sebastes_ciliatus	Sebastes_mystinus	92
513	Sebastes_flavidus	Sebastes_melanops	92
514	Sebastes_chlorostictus	Sebastes_mystinus	93
515	Sebastes_caurinus	Sebastes_elongatus	93
516	Sebastes_proriger	Sebastes_variegatus	93
517	Sebastes_goodei	Sebastes_levis	93
518	Sebastes_flavidus	Sebastes_melanops	93
519	Sebastes_elongatus	Sebastes_paucispinis	94
520	Sebastes_ciliatus	Sebastes_zacentrus	94
521	Sebastes_ensifer	Sebastes_rosenblatti	94
522	Sebastes_flavidus	Sebastes_melanops	94
523	Sebastes_caurinus	Sebastes_saxicola	94
524	Sebastes_entomelas	Sebastes_mystinus	94
525	Sebastes_levis	Sebastes_saxicola	95
526	Sebastes_ciliatus	Sebastes_melanops	95
527	Sebastes_proriger	Sebastes_variegatus	95
528	Sebastes_chlorostictus	Sebastes_ensifer	95
529	Sebastes_entomelas	Sebastes_mystinus	95
530	Sebastes_goodei	Sebastes_paucispinis	95
531	Sebastes_caurinus	Sebastes_saxicola	96
